Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Air,7.3,632,"274,051",TV,12,"ADV Films,Funimation",Kyoto Animation,"Drama,Romance,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
Golden Kamuy,7.85,633,"276,077",TV,12,Funimation,Geno Studio,"Action,Adventure",Seinen,R - 17+ (violence & profanity)
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,6.73,634,"277,695",TV,10,Funimation,"Tezuka Productions,       Okuruto Noboru","Comedy,Fantasy,Ecchi",NULL,PG-13 - Teens 13 or older
Nanbaka,7.34,635,"275,308",TV,13,Funimation,Satelight,"Action,Comedy,Drama",NULL,PG-13 - Teens 13 or older
One Punch Man: Road to Hero,7.71,636,"274,472",OVA,1,None found,Madhouse,"Action,Comedy,Sci-Fi,Supernatural",NULL,R - 17+ (violence & profanity)
Sword Art Online: Extra Edition,6.56,637,"273,327",Special,1,Aniplex of America,A-1 Pictures,"Action,Adventure,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Karigurashi no Arrietty,7.91,638,"272,631",Movie,1,Walt Disney Studios,Studio Ghibli,NULL,NULL,G - All Ages
Fate/stay night: Unlimited Blade Works Prologue,8.07,639,"273,801",Special,1,Aniplex of America,ufotable,"Action,Fantasy,Supernatural",NULL,PG-13 - Teens 13 or older
Naruto: Shippuuden Movie 6 - Road to Ninja,7.67,640,"273,458",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure",Shounen,PG-13 - Teens 13 or older
Mimi wo Sumaseba,8.22,641,"272,185",Movie,1,"Walt Disney Studios,GKIDS",Studio Ghibli,"Drama,Romance,Slice of Life",Shoujo,G - All Ages
Kokoro ga Sakebitagatterunda.,7.89,642,"273,681",Movie,1,Aniplex of America,A-1 Pictures,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Imouto sae Ireba Ii.,7.33,643,"273,651",TV,12,Funimation,SILVER LINK.,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Nejimaki Seirei Senki: Tenkyou no Alderamin,7.69,644,"272,987",TV,13,"Funimation,Crunchyroll",Madhouse,"Action,Adventure,Fantasy",NULL,R - 17+ (violence & profanity)
Hamatora The Animation,7.28,645,"271,719",TV,12,Sentai Filmworks,NAZ,"Comedy,Drama,Mystery",NULL,R - 17+ (violence & profanity)
Denpa Onna to Seishun Otoko,7.15,646,"271,832",TV,12,"NIS America,Inc.",Shaft,"Comedy,Sci-Fi,Slice of Life",NULL,PG-13 - Teens 13 or older
Dimension W,7.2,647,"270,842",TV,12,Funimation,"Orange,       Studio 3Hz","Action,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Carole & Tuesday,7.91,648,"271,599",TV,24,None found,Bones,"Drama,Sci-Fi",NULL,PG-13 - Teens 13 or older
Full Metal Panic? Fumoffu,8.05,649,"269,289",TV,12,"ADV Films,Funimation",Kyoto Animation,"Action,Comedy",NULL,PG-13 - Teens 13 or older
Highschool of the Dead: Drifters of the Dead,6.62,650,"269,768",OVA,1,Sentai Filmworks,Madhouse,"Comedy,Supernatural,Ecchi",NULL,R+ - Mild Nudity
Fruits Basket: The Final,9.07,651,"274,879",TV,13,Funimation,TMS Entertainment,"Comedy,Drama,Romance,Slice of Life,Supernatural",Shoujo,PG-13 - Teens 13 or older
ChäoS HEAd,6.34,652,"268,489",TV,12,Funimation,Madhouse,"Mystery,Sci-Fi,Supernatural",NULL,R - 17+ (violence & profanity)
Irozuku Sekai no Ashita kara,7.53,653,"269,949",TV,13,Sentai Filmworks,P.A. Works,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Assassins Pride,5.93,654,"270,712",TV,12,Sentai Filmworks,EMT Squared,NULL,NULL,PG-13 - Teens 13 or older
C: The Money of Soul and Possibility Control,7.21,655,"268,302",TV,11,Funimation,Tatsunoko Production,"Action,Mystery,Suspense",NULL,PG-13 - Teens 13 or older
Yuukoku no Moriarty,8.12,656,"271,804",TV,11,Funimation,Production I.G,"Mystery,Suspense",Shounen,R - 17+ (violence & profanity)
Id:Invaded,7.87,657,"269,817",TV,13,Funimation,NAZ,"Mystery,Sci-Fi",NULL,R - 17+ (violence & profanity)
Mawaru Penguindrum,7.97,658,"267,543",TV,24,Sentai Filmworks,Brain's Base,"Avant Garde,Comedy,Drama,Mystery",NULL,R - 17+ (violence & profanity)
Taimadou Gakuen 35 Shiken Shoutai,6.85,659,"268,078",TV,12,Discotek Media,SILVER LINK.,"Action,Fantasy,Romance,Supernatural,Ecchi",NULL,R - 17+ (violence & profanity)
Ballroom e Youkoso,8.2,660,"267,395",TV,24,Ponycan USA,Production I.G,"Comedy,Drama,Romance,Sports",Shounen,PG-13 - Teens 13 or older
