Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Masou Gakuen HxH,6.15,757,"238,275",TV,12,"Funimation,Crunchyroll",Production IMS,"Action,Comedy,Fantasy,Romance,Sci-Fi,Ecchi",NULL,R+ - Mild Nudity
Hetalia Axis Powers,7.32,758,"236,749",ONA,52,Funimation,Studio Deen,NULL,NULL,PG-13 - Teens 13 or older
Koi wa Ameagari no You ni,7.51,759,"238,227",TV,12,Sentai Filmworks,Wit Studio,"Drama,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Slam Dunk,8.53,760,"235,824",TV,101,"Flatiron Film Company,Geneon Entertainment USA",Toei Animation,"Comedy,Drama,Sports",Shounen,PG-13 - Teens 13 or older
Karakai Jouzu no Takagi-san 2,8.1,761,"237,719",TV,12,None found,Shin-Ei Animation,"Comedy,Romance,Slice of Life",Shounen,PG-13 - Teens 13 or older
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,762,"239,132",Special,1,None found,Kyoto Animation,"Drama,Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
Hachimitsu to Clover,8.03,763,"234,500",TV,24,"VIZ Media,Discotek Media",J.C.Staff,"Comedy,Drama,Romance,Slice of Life",Josei,PG-13 - Teens 13 or older
Shingeki no Kyojin: Lost Girls,7.79,764,"236,316",OVA,3,None found,Wit Studio,"Action,Drama,Fantasy,Horror,Supernatural",NULL,R - 17+ (violence & profanity)
Darker than Black: Kuro no Keiyakusha Gaiden,7.94,765,"234,139",Special,4,Funimation,Bones,"Action,Mystery,Sci-Fi",NULL,R - 17+ (violence & profanity)
Haibane Renmei,7.98,766,"233,556",TV,13,"Funimation,Geneon Entertainment USA",Radix,"Drama,Fantasy,Mystery,Slice of Life",NULL,PG-13 - Teens 13 or older
Psycho-Pass Movie,7.72,767,"233,839",Movie,1,Funimation,Production I.G,"Action,Sci-Fi",NULL,R - 17+ (violence & profanity)
Kokoro Connect: Michi Random,7.97,768,"233,280",Special,4,Sentai Filmworks,SILVER LINK.,"Comedy,Drama,Romance,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
ef: A Tale of Memories.,7.92,769,"232,733",TV,12,Sentai Filmworks,Shaft,"Drama,Mystery,Romance",NULL,PG-13 - Teens 13 or older
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",6.75,770,"233,437",TV,12,Funimation,SILVER LINK.,"Comedy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Yuragi-sou no Yuuna-san,7.03,771,"233,813",TV,12,Aniplex of America,Xebec,"Comedy,Romance,Supernatural,Ecchi",Shounen,R+ - Mild Nudity
Handa-kun,7.38,772,"234,487",TV,12,Funimation,Diomedéa,"Comedy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Flying Witch,7.52,773,"232,011",TV,12,Sentai Filmworks,J.C.Staff,"Comedy,Slice of Life,Supernatural",Shounen,PG-13 - Teens 13 or older
Sakura Trick,6.99,774,"231,480",TV,12,Sentai Filmworks,Studio Deen,"Comedy,Girls Love,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Servamp,6.91,775,"233,317",TV,12,Funimation,"Brain's Base,       Platinum Vision","Action,Comedy,Drama,Supernatural",Josei,R - 17+ (violence & profanity)
Somali to Mori no Kamisama,7.82,776,"232,085",TV,12,None found,"Satelight,       HORNETS","Adventure,Drama,Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
Tada-kun wa Koi wo Shinai,7.56,777,"231,767",TV,13,Sentai Filmworks,Doga Kobo,"Comedy,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Happy Sugar Life,6.85,778,"231,587",TV,12,None found,Ezόla,"Drama,Girls Love,Horror",Shounen,R - 17+ (violence & profanity)
Platinum End,7.42,779,"228,959",TV,24,None found,Signal.MD,"Drama,Supernatural",Shounen,R - 17+ (violence & profanity)
Kanojo mo Kanojo,6.68,780,"228,548",TV,12,None found,Tezuka Productions,"Comedy,Romance",Shounen,PG-13 - Teens 13 or older
Omoide no Marnie,8.07,781,"229,650",Movie,1,GKIDS,Studio Ghibli,"Drama,Mystery",NULL,G - All Ages
Munou na Nana,7.23,782,"230,657",TV,13,"Funimation,Muse Communication",Bridge,"Supernatural,Suspense",Shounen,R - 17+ (violence & profanity)
Tokyo Godfathers,8.28,783,"228,135",Movie,1,"Sony Pictures Entertainment,GKIDS",Madhouse,"Comedy,Drama",NULL,PG-13 - Teens 13 or older
K: Missing Kings,7.67,784,"227,750",Movie,1,VIZ Media,GoHands,"Action,Supernatural",NULL,PG-13 - Teens 13 or older
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,7.59,785,"227,906",OVA,1,None found,Brain's Base,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Rikei ga Koi ni Ochita no de Shoumei shitemita.,7.35,786,"230,355",TV,12,None found,Zero-G,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Hajime no Ippo: New Challenger,8.66,787,"226,743",TV,26,None found,Madhouse,"Comedy,Drama,Sports",Shounen,PG-13 - Teens 13 or older
Bokutachi wa Benkyou ga Dekinai!,7.35,788,"228,807",TV,13,Aniplex of America,"Silver,       Arvo Animation","Comedy,Romance",Shounen,PG-13 - Teens 13 or older
Junjou Romantica,7.57,789,"226,151",TV,12,Nozomi Entertainment,Studio Deen,"Boys Love,Comedy,Drama,Romance",NULL,PG-13 - Teens 13 or older
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.75,790,"230,253",Movie,1,Aniplex of America,ufotable,"Action,Fantasy,Supernatural",NULL,R - 17+ (violence & profanity)
Love Live! School Idol Project 2nd Season,7.78,791,"226,157",TV,13,"NIS America,Inc.",Sunrise,NULL,NULL,PG-13 - Teens 13 or older
Mahou Sensou,6,792,"223,593",TV,12,Sentai Filmworks,Madhouse,"Action,Fantasy",NULL,PG-13 - Teens 13 or older
Pokemon Movie 01: Mewtwo no Gyakushuu,7.63,793,"223,321",Movie,1,"4Kids Entertainment,Warner Bros. Pictures",OLM,"Action,Adventure,Comedy,Drama,Fantasy",Kids,PG - Children
Tensura Nikki: Tensei shitara Slime Datta Ken,7.54,794,"226,698",TV,12,None found,8bit,"Comedy,Fantasy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Angel Beats!: Another Epilogue,7.47,795,"223,143",Special,1,None found,P.A. Works,"Drama,Supernatural",NULL,PG-13 - Teens 13 or older
Mushishi Zoku Shou 2nd Season,8.75,796,"223,833",TV,10,Aniplex of America,Artland,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",Seinen,PG-13 - Teens 13 or older
Love Stage!!,7.26,797,"223,353",TV,10,Sentai Filmworks,J.C.Staff,"Boys Love,Comedy,Romance",NULL,PG-13 - Teens 13 or older
New Game!!,7.73,798,"223,790",TV,12,"Funimation,Crunchyroll",Doga Kobo,"Comedy,Slice of Life",NULL,PG-13 - Teens 13 or older
Seitokai Yakuindomo*,7.71,799,"222,969",TV,13,Sentai Filmworks,GoHands,"Comedy,Slice of Life",Shounen,R - 17+ (violence & profanity)
Kanokon,6.42,800,"221,991",TV,12,Media Blasters,Xebec,"Comedy,Romance,Slice of Life,Supernatural,Ecchi",Shounen,R+ - Mild Nudity
Noragami Aragoto OVA,7.88,801,"223,357",OVA,2,None found,Bones,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,6.26,802,"222,292",TV,10,Sentai Filmworks,"Diomedéa,       Studio Blanc","Comedy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Zero kara Hajimeru Mahou no Sho,7.08,803,"221,138",TV,12,Sentai Filmworks,White Fox,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Medaka Box,7.04,804,"220,629",TV,12,Sentai Filmworks,"Gainax,       Asahi Production","Action,Comedy,Ecchi",Shounen,PG-13 - Teens 13 or older
Jitsu wa Watashi wa,6.88,805,"222,206",TV,13,Discotek Media,"TMS Entertainment,       3xCube","Comedy,Fantasy,Romance,Supernatural",Shounen,PG-13 - Teens 13 or older
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,5.55,806,"221,604",TV,12,Aniplex of America,J.C.Staff,"Adventure,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Kuusen Madoushi Kouhosei no Kyoukan,6.35,807,"220,915",TV,12,Funimation,Diomedéa,"Action,Drama,Fantasy",NULL,PG-13 - Teens 13 or older
Natsume Yuujinchou San,8.58,808,"219,975",TV,13,"NIS America,Inc.",Brain's Base,"Drama,Slice of Life,Supernatural",Shoujo,PG-13 - Teens 13 or older
To LOVE-Ru Darkness 2nd,7.47,809,"220,819",TV,12,Sentai Filmworks,Xebec,"Comedy,Romance,Sci-Fi,Ecchi",Shounen,R+ - Mild Nudity
Kamisama no Memochou,7.51,810,"219,186",TV,12,Sentai Filmworks,J.C.Staff,NULL,NULL,R - 17+ (violence & profanity)
Naruto: Shippuuden Movie 2 - Kizuna,7.28,811,"219,369",Movie,1,VIZ Media,Studio Pierrot,"Action,Supernatural",Shounen,PG-13 - Teens 13 or older
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.18,812,"220,056",Movie,1,Sentai Filmworks,Kyoto Animation,"Fantasy,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
11eyes,6.11,813,"218,572",TV,12,Sentai Filmworks,Doga Kobo,"Action,Supernatural,Ecchi",NULL,R - 17+ (violence & profanity)
Zoku Natsume Yuujinchou,8.56,814,"217,755",TV,13,"NIS America,Inc.",Brain's Base,"Drama,Slice of Life,Supernatural",Shoujo,PG-13 - Teens 13 or older
Shakugan no Shana III (Final),7.53,815,"217,635",TV,24,Funimation,J.C.Staff,"Action,Drama,Fantasy,Romance,Supernatural",NULL,PG-13 - Teens 13 or older
Ga-Rei: Zero,7.61,816,"217,515",TV,12,Funimation,"AIC Spirits,       asread.","Action,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Bokutachi no Remake,7.5,817,"217,187",TV,12,None found,feel.,"Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Neko no Ongaeshi,7.75,818,"217,561",Movie,1,"Walt Disney Studios,GKIDS",Studio Ghibli,"Adventure,Drama,Fantasy",NULL,G - All Ages
Haikyuu!!: Riku vs. Kuu,7.82,819,"219,754",OVA,2,None found,Production I.G,"Comedy,Drama,Sports",Shounen,PG-13 - Teens 13 or older
Omamori Himari,6.88,820,"217,199",TV,12,Funimation,Zexcs,"Action,Comedy,Fantasy,Romance,Supernatural,Ecchi",NULL,R+ - Mild Nudity
MM!,7.08,821,"216,765",TV,12,Sentai Filmworks,Xebec,"Comedy,Ecchi",NULL,PG-13 - Teens 13 or older
Ranma ½,7.76,822,"215,808",TV,161,VIZ Media,Studio Deen,"Comedy,Fantasy,Slice of Life",Shounen,R+ - Mild Nudity
Tejina-senpai,6.44,823,"217,872",TV,12,None found,LIDENFILMS,"Comedy,Ecchi",Seinen,PG-13 - Teens 13 or older
Promare,8.02,824,"217,631",Movie,1,GKIDS,Trigger,"Action,Sci-Fi",NULL,PG-13 - Teens 13 or older
Working!!!,8,825,"216,379",TV,13,Aniplex of America,A-1 Pictures,"Comedy,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Planetes,8.28,826,"214,999",TV,26,Bandai Entertainment,Sunrise,"Drama,Romance,Sci-Fi",Seinen,PG-13 - Teens 13 or older
Gankutsuou,8.16,827,"214,756",TV,24,"Funimation,Geneon Entertainment USA",Gonzo,"Drama,Mystery,Sci-Fi,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Kuroko no Basket Movie 4: Last Game,8.08,828,"217,248",Movie,1,None found,Production I.G,NULL,Shounen,PG-13 - Teens 13 or older
Sekirei: Pure Engagement,7.31,829,"214,513",TV,13,Funimation,Seven Arcs,"Action,Comedy,Ecchi",NULL,R+ - Mild Nudity
Ryuugajou Nanana no Maizoukin (TV),7.16,830,"214,405",TV,11,Aniplex of America,A-1 Pictures,"Adventure,Comedy,Mystery,Supernatural",NULL,PG-13 - Teens 13 or older
White Album 2,7.66,831,"214,145",TV,13,None found,Satelight,"Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Neon Genesis Evangelion: Death & Rebirth,7.45,832,"213,747",Movie,1,"GKIDS,Manga Entertainment","Gainax,       Production I.G","Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Himouto! Umaru-chan R,7.34,833,"214,246",TV,12,Sentai Filmworks,Doga Kobo,"Comedy,Slice of Life",Seinen,PG-13 - Teens 13 or older
Psycho-Pass 3,7.49,835,"214,056",TV,8,None found,Production I.G,"Action,Sci-Fi,Suspense",NULL,R - 17+ (violence & profanity)
Mieruko-chan,7.48,834,"212,279",TV,12,None found,Passione,"Comedy,Horror,Supernatural",NULL,PG-13 - Teens 13 or older
Higurashi no Naku Koro ni Gou,7.22,836,"214,299",TV,24,Funimation,Passione,"Avant Garde,Horror,Mystery,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Noblesse,6.84,837,"214,161",TV,13,None found,Production I.G,"Action,Supernatural",NULL,R - 17+ (violence & profanity)
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.43,838,"212,028",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Natsume Yuujinchou Shi,8.66,839,"212,398",TV,13,"NIS America,Inc.",Brain's Base,"Drama,Slice of Life,Supernatural",Shoujo,PG-13 - Teens 13 or older
Death Billiards,7.91,840,"211,586",Movie,1,Funimation,Madhouse,"Drama,Mystery,Suspense",NULL,R - 17+ (violence & profanity)
One Piece Film: Z,8.16,841,"212,026",Movie,1,Funimation,Toei Animation,"Action,Adventure,Comedy,Drama,Fantasy",Shounen,PG-13 - Teens 13 or older
Bokura ga Ita,7.28,842,"210,995",TV,26,None found,Artland,"Drama,Romance,Slice of Life",Shoujo,PG-13 - Teens 13 or older
Koi to Senkyo to Chocolate,7.04,843,"210,727",TV,12,Sentai Filmworks,AIC Build,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Devils Line,6.83,844,"211,599",TV,12,Sentai Filmworks,Platinum Vision,"Action,Drama,Romance,Supernatural",Seinen,R - 17+ (violence & profanity)
Steins Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.24,845,"210,860",Special,1,None found,White Fox,"Sci-Fi,Suspense",NULL,PG-13 - Teens 13 or older
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),7.82,846,"209,616",Movie,1,Aniplex of America,ufotable,"Action,Mystery,Romance,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Persona 5 the Animation,6.44,847,"210,379",TV,26,Aniplex of America,CloverWorks,"Action,Fantasy,Supernatural",NULL,R - 17+ (violence & profanity)
"Tokyo Ghoul: ""Jack""",7.33,848,"210,451",OVA,1,Funimation,Studio Pierrot,"Action,Drama,Horror,Supernatural",Seinen,R - 17+ (violence & profanity)
Genjitsu Shugi Yuusha no Oukoku Saikenki,7.2,849,"208,746",TV,13,Funimation,J.C.Staff,"Action,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Koyomimonogatari,7.65,850,"209,764",ONA,12,Aniplex of America,Shaft,"Comedy,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Binbougami ga!,7.7,851,"208,681",TV,13,Funimation,Sunrise,"Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Hataraku Saibou!!,7.32,852,"210,160",TV,8,Aniplex of America,David Production,NULL,Shounen,PG-13 - Teens 13 or older
Ghost Hunt,7.78,853,"207,951",TV,25,Funimation,J.C.Staff,"Horror,Mystery,Supernatural",Shoujo,PG-13 - Teens 13 or older
Chrno Crusade,7.64,854,"207,750",TV,24,"ADV Films,Funimation",Gonzo,"Action,Romance,Supernatural",Shounen,R - 17+ (violence & profanity)
Sidonia no Kishi,7.66,855,"207,763",TV,12,"Funimation,Sentai Filmworks",Polygon Pictures,"Action,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Tsubasa Chronicle,7.53,856,"207,460",TV,26,Funimation,Bee Train,"Action,Adventure,Fantasy,Romance,Supernatural",Shounen,PG-13 - Teens 13 or older
Knight's & Magic,7.1,857,"209,028",TV,13,Funimation,8bit,"Action,Fantasy",NULL,PG-13 - Teens 13 or older
Shingeki no Bahamut: Virgin Soul,7.44,858,"208,389",TV,24,None found,MAPPA,"Action,Adventure,Fantasy,Supernatural",NULL,R - 17+ (violence & profanity)
Kara no Kyoukai 5: Mujun Rasen,8.55,859,"207,463",Movie,1,Aniplex of America,ufotable,"Action,Drama,Mystery,Romance,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,860,"209,305",TV,21,Aniplex of America,CloverWorks,"Action,Fantasy,Supernatural",NULL,PG-13 - Teens 13 or older
Kuroshitsuji: Book of Murder,8.08,861,"208,137",OVA,2,Funimation,A-1 Pictures,"Action,Comedy,Mystery,Supernatural",Shounen,R - 17+ (violence & profanity)
Josee to Tora to Sakana-tachi,8.54,862,"213,772",Movie,1,Funimation,Bones,"Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Midara na Ao-chan wa Benkyou ga Dekinai,6.75,863,"208,452",TV,12,Sentai Filmworks,SILVER LINK.,"Comedy,Romance,Ecchi",Shounen,PG-13 - Teens 13 or older
Hayate no Gotoku!,7.54,864,"205,834",TV,52,"Bandai Entertainment,Sentai Filmworks",SynergySP,"Action,Comedy,Romance",Shounen,PG-13 - Teens 13 or older
High Score Girl,7.81,865,"206,484",TV,12,Netflix,J.C.Staff,"Comedy,Romance",Seinen,PG-13 - Teens 13 or older
Kamisama ni Natta Hi,6.81,866,"206,921",TV,12,Aniplex of America,P.A. Works,"Drama,Fantasy",NULL,PG-13 - Teens 13 or older
Diamond no Ace,8.11,867,"205,638",TV,75,None found,"Production I.G,       Madhouse","Comedy,Sports",Shounen,PG-13 - Teens 13 or older
Kaguya-sama wa Kokurasetai: Ultra Romantic,N/A,868,"212,893",TV,Unknown,None found,None found,"Comedy,Romance",Seinen,PG-13 - Teens 13 or older
Texhnolyze,7.77,869,"204,621",TV,22,"Funimation,Geneon Entertainment USA",Madhouse,"Action,Drama,Sci-Fi",NULL,R+ - Mild Nudity
Gochuumon wa Usagi Desu ka?,7.5,870,"204,816",TV,12,Sentai Filmworks,White Fox,"Comedy,Slice of Life",NULL,PG-13 - Teens 13 or older
Doukyuusei (Movie),8.32,871,"206,509",Movie,1,Aniplex of America,A-1 Pictures,"Boys Love,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Yu☆Gi☆Oh!,7.2,872,"204,123",TV,27,None found,Toei Animation,"Action,Comedy,Fantasy",Shounen,PG-13 - Teens 13 or older
Naruto: Shippuuden Movie 4 - The Lost Tower,7.42,873,"204,202",Movie,1,VIZ Media,Studio Pierrot,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Toaru Majutsu no Index III,6.79,874,"204,973",TV,26,Funimation,J.C.Staff,"Action,Sci-Fi",NULL,PG-13 - Teens 13 or older
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53,875,"203,529",TV,26,"Bandai Entertainment,Manga Entertainment",Production I.G,"Action,Mystery,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Terra Formars,7.02,876,"203,916",TV,13,VIZ Media,LIDENFILMS,"Action,Drama,Horror,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Punch Line,6.96,877,"205,230",TV,12,Sentai Filmworks,MAPPA,"Comedy,Sci-Fi,Supernatural,Ecchi",NULL,PG-13 - Teens 13 or older
Dance in the Vampire Bund,7.03,878,"203,435",TV,12,Funimation,Shaft,"Action,Drama,Romance,Supernatural",Seinen,R+ - Mild Nudity
Shingeki! Kyojin Chuugakkou,7.16,879,"205,176",TV,12,Funimation,Production I.G,NULL,Shounen,PG-13 - Teens 13 or older
Chihayafuru 2,8.41,880,"203,610",TV,25,Sentai Filmworks,Madhouse,"Drama,Slice of Life,Sports",Josei,PG-13 - Teens 13 or older
Mirai Nikki,7.23,881,"203,266",OVA,1,None found,asread.,"Action,Supernatural",Shounen,R - 17+ (violence & profanity)
Sirius,7.01,882,"204,763",TV,12,Netflix,P.A. Works,"Action,Supernatural",NULL,R - 17+ (violence & profanity)
One Outs,8.34,883,"203,113",TV,25,None found,Madhouse,NULL,Seinen,PG-13 - Teens 13 or older
Youjo Senki Movie,8.25,884,"204,710",Movie,1,None found,Nut,NULL,NULL,R - 17+ (violence & profanity)
Digimon Adventure 02,7.23,885,"202,414",TV,50,"Saban Entertainment,Flatiron Film Company",Toei Animation,"Action,Adventure,Comedy,Drama,Fantasy",Kids,PG - Children
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.14,886,"204,755",Movie,1,Sentai Filmworks,Kyoto Animation,"Comedy,Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Kuragehime,8.12,887,"201,973",TV,11,Funimation,Brain's Base,"Comedy,Slice of Life",Josei,PG-13 - Teens 13 or older
Tsuki ga Michibiku Isekai Douchuu,7.75,888,"201,317",TV,12,None found,C2C,"Action,Adventure,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Ousama Game The Animation,5.01,889,"202,545",TV,12,Funimation,Seven,"Drama,Horror,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Canaan,7.25,891,"201,103",TV,13,Sentai Filmworks,P.A. Works,"Action,Sci-Fi,Supernatural",Seinen,R - 17+ (violence & profanity)
SKET Dance,8.23,892,"201,323",TV,77,None found,Tatsunoko Production,NULL,Shounen,PG-13 - Teens 13 or older
Blue Period,7.75,890,"200,816",TV,Unknown,None found,Seven Arcs,"Drama,Slice of Life",Seinen,PG-13 - Teens 13 or older
Yowamushi Pedal,7.96,893,"201,182",TV,38,Discotek Media,TMS Entertainment,"Comedy,Drama,Sports",Shounen,PG-13 - Teens 13 or older
Kamisama no Inai Nichiyoubi,7.32,894,"200,921",TV,12,Sentai Filmworks,Madhouse,"Adventure,Fantasy,Mystery",NULL,R - 17+ (violence & profanity)
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.5,895,"200,285",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Pokemon: The Origin,7.74,896,"200,343",Special,4,The Pokemon Company International,"Production I.G,       Xebec,       OLM","Action,Adventure,Comedy,Fantasy",Kids,PG - Children
Hajime no Ippo: Rising,8.58,897,"200,430",TV,25,None found,"Madhouse,       MAPPA","Comedy,Drama,Sports",Shounen,PG-13 - Teens 13 or older
Odd Taxi,8.79,898,"207,072",TV,13,None found,"OLM,       P.I.C.S.",NULL,NULL,PG-13 - Teens 13 or older
Aoharu x Kikanjuu,7.17,899,"200,147",TV,12,Sentai Filmworks,Brain's Base,"Action,Comedy,Sports",Shounen,PG-13 - Teens 13 or older
Mayoiga,5.51,900,"200,043",TV,12,Ponycan USA,Diomedéa,"Comedy,Drama,Horror,Mystery",NULL,R - 17+ (violence & profanity)
Tiger & Bunny,7.9,901,"199,780",TV,25,VIZ Media,Sunrise,"Action,Comedy,Mystery",NULL,PG-13 - Teens 13 or older
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.06,902,"200,541",OVA,1,None found,feel.,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Final Fantasy VII: Advent Children,7.74,903,"199,215",Movie,1,Sony Pictures Entertainment,Square Enix,"Action,Fantasy",NULL,PG-13 - Teens 13 or older
100-man no Inochi no Ue ni Ore wa Tatteiru,6.48,904,"202,271",TV,12,Crunchyroll,Maho Film,"Action,Drama,Fantasy",Shounen,PG-13 - Teens 13 or older
Kantai Collection: KanColle,6.86,905,"199,060",TV,12,"Funimation,Crunchyroll",Diomedéa,"Action,Sci-Fi,Slice of Life",NULL,PG-13 - Teens 13 or older
Kara no Kyoukai 3: Tsuukaku Zanryuu,8.05,906,"199,128",Movie,1,Aniplex of America,ufotable,"Action,Drama,Mystery,Supernatural,Suspense",NULL,R+ - Mild Nudity
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,6.87,907,"198,946",Movie,1,VIZ Media,Studio Pierrot,"Adventure,Comedy,Drama,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Big Order (TV),5.38,908,"199,844",TV,10,"Discotek Media,Crunchyroll",asread.,NULL,Shounen,R+ - Mild Nudity
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.59,909,"201,390",TV,12,Funimation,SILVER LINK.,"Action,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Grisaia no Meikyuu: Caprice no Mayu 0,7.88,910,"199,270",Special,1,Sentai Filmworks,8bit,NULL,NULL,R+ - Mild Nudity
Kono Oto Tomare!,7.89,911,"201,209",TV,13,Funimation,Platinum Vision,"Drama,Romance",Shounen,PG-13 - Teens 13 or older
True Tears,7.33,912,"197,935",TV,13,"Bandai Entertainment,Discotek Media,Bandai Visual USA",P.A. Works,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Umineko no Naku Koro ni,7.09,913,"197,804",TV,26,"NIS America,Inc.",Studio Deen,"Horror,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Ushio to Tora (TV),7.58,914,"198,449",TV,26,Sentai Filmworks,"MAPPA,       Studio VOLN","Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Mobile Suit Gundam 00,8.13,915,"197,266",TV,25,Bandai Entertainment,Sunrise,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Shugo Chara!,7.4,916,"196,356",TV,51,None found,Satelight,NULL,Shoujo,PG - Children
One Piece Film: Strong World,8.14,917,"196,705",Movie,1,Funimation,Toei Animation,"Action,Adventure,Comedy,Drama,Fantasy",Shounen,PG-13 - Teens 13 or older
Nijiiro Days,7.3,918,"197,421",TV,24,Funimation,Production Reed,"Comedy,Romance,Slice of Life",Shoujo,PG-13 - Teens 13 or older
Shaman King (2021),6.66,919,"195,805",TV,52,None found,Bridge,"Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
07-Ghost,7.21,920,"195,821",TV,25,Discotek Media,Studio Deen,"Action,Fantasy",Josei,PG-13 - Teens 13 or older
Tonari no Seki-kun,7.56,921,"195,665",TV,21,Sentai Filmworks,Shin-Ei Animation,NULL,Seinen,G - All Ages
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,922,"195,859",Movie,1,None found,Sunrise,"Action,Comedy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Princess Lover!,6.73,923,"195,181",TV,12,None found,GoHands,"Comedy,Ecchi",NULL,R+ - Mild Nudity
Tenkuu Shinpan,6.79,924,"199,896",ONA,12,None found,Zero-G,"Action,Horror,Mystery",NULL,R - 17+ (violence & profanity)
Kurenai no Buta,7.96,925,"194,574",Movie,1,"Walt Disney Studios,GKIDS",Studio Ghibli,"Action,Adventure,Comedy,Drama,Romance",NULL,G - All Ages
Karneval (TV),7.11,926,"194,565",TV,13,Funimation,Manglobe,"Action,Fantasy,Mystery,Sci-Fi",Josei,PG-13 - Teens 13 or older
Seirei Gensouki,7.03,927,"193,641",TV,12,None found,TMS Entertainment,"Action,Adventure,Drama,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,6.34,928,"195,865",TV,12,Funimation,LIDENFILMS,"Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
